
Co./Last Name							Invoice No.	Date				Item Number	Quantity	Description																																		Record ID
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				SD5	2	Swedes - Diced																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				RCL	2	Chips - Raw Chunky																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				CGS2	2	Cabbage - Green (Shredded) Vac Pac																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				CFB	1	Cauliflower																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				ONC	6	Onions - Chilli																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				PQ10	1	Potatoes - Cut (Roast)																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				OI	1	Oil - Pure Vegetable																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				EB	1	Eggs																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				TEN	6	Salad - Tender Leaves																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				CP5	2	Carrots - Peeled																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				BABP	3	Corn - Baby																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				BSP	2	Bean Sprouts																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				SPS	2	Scourer Sponge 																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				PG	2	Peppers - Green																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				PR	2	Peppers - Red																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				PY	2	Peppers - Yellow																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				C17	1	Cheese - Soprano Red Grated																																		WA3

The Burtree Inn							F53165427	02/05/2026				C17B	1	Cheese - Soprano Red Grated																																		BR2
The Burtree Inn							F53165427	02/05/2026				E	2	Eggs																																		BR2
The Burtree Inn							F53165427	02/05/2026				C17B	1	Cheese - Soprano Red Grated																																		BR2

Planet Leisure							F53155104	02/05/2026				BUT	4	Butter - Unsalted																																		PL2
Planet Leisure							F53155104	02/05/2026				LI	6	Lettuce - Iceberg																																		PL2
Planet Leisure							F53155104	02/05/2026				LB	6	Lettuce - Baby Gem																																		PL2
Planet Leisure							F53155104	02/05/2026				LC1	6	Lettuce - Cos																																		PL2
Planet Leisure							F53155104	02/05/2026				CU	5	Cucumber																																		PL2
Planet Leisure							F53155104	02/05/2026				MP	1	Peppers - Mixed																																		PL2
Planet Leisure							F53155104	02/05/2026				ORK	5	Onions - Red																																		PL2
Planet Leisure							F53155104	02/05/2026				SO	6	Spring Onions																																		PL2
Planet Leisure							F53155104	02/05/2026				ONC	3	Onions - Chilli																																		PL2
Planet Leisure							F53155104	02/05/2026				GMO	3	Cheese - Mozzarella Grated																																		PL2
Planet Leisure							F53155104	02/05/2026				HC	1	Herb - Chives																																		PL2
Planet Leisure							F53155104	02/05/2026				RCT	4	Chips - Chunky Premium																																		PL2
Planet Leisure							F53155104	02/05/2026				LE	4	Lemons																																		PL2
Planet Leisure							F53155104	02/05/2026				LIM	3	Limes																																		PL2
Planet Leisure							F53155104	02/05/2026				C53	3	Cheese - Grated White Buttercup																																		PL2

Beverage Way Bistro							F53154283	02/05/2026				RCL	1	Chips - Raw Chunky																																		CA13
Beverage Way Bistro							F53154283	02/05/2026				E	3	Eggs																																		CA13
Beverage Way Bistro							F53154283	02/05/2026				MB6	2	Mushrooms - Button (Medium)																																		CA13
Beverage Way Bistro							F53154283	02/05/2026				J4	8	Potatoes - Jacket 40's																																		CA13
Beverage Way Bistro							F53154283	02/05/2026				Key	1	Key																																		CA13

Taste of China							F52961807	02/05/2026				RCL	17	Chips - Raw Chunky																																		TC2

Shildon Chop Suey House							F53165669	02/05/2026				RCL	8	Chips - Raw Chunky																																		SH1
Shildon Chop Suey House							F53165669	02/05/2026				Key	1	Key																																		SH1

The Bay Horse Heighington							F53162162	02/05/2026				RCL	3	Chips - Raw Chunky																																		BA3
The Bay Horse Heighington							F53162162	02/05/2026				BUP	1	Butter - Portions																																		BA3
The Bay Horse Heighington							F53162162	02/05/2026				C16	3	Cheese - Red Grated																																		BA3
